Bundesland,date,confirmed,deaths
Baden-Württemberg,2020-02-29,14,0.0
Baden-Württemberg,2020-03-01,15,0.0
Baden-Württemberg,2020-03-02,19,0.0
Baden-Württemberg,2020-03-03,28,0.0
Baden-Württemberg,2020-03-04,50,0.0
Baden-Württemberg,2020-03-05,73,0.0
Baden-Württemberg,2020-03-06,96,0.0
Baden-Württemberg,2020-03-07,170,0.0
Baden-Württemberg,2020-03-08,182,0.0
Baden-Württemberg,2020-03-09,204,0.0
Baden-Württemberg,2020-03-10,237,0.0
Baden-Württemberg,2020-03-11,277,0.0
Baden-Württemberg,2020-03-12,454,1.0
Baden-Württemberg,2020-03-13,454.0,1.0
Baden-Württemberg,2020-03-14,569.0,2.0
Baden-Württemberg,2020-03-15,827.0,3.0
Baden-Württemberg,2020-03-16,827.0,3.0
Baden-Württemberg,2020-03-17,1.105,3.0
Baden-Württemberg,2020-03-18,1609,2.0
Bayern,2020-02-29,15,0.0
Bayern,2020-03-01,23,0.0
Bayern,2020-03-02,25,0.0
Bayern,2020-03-03,37,0.0
Bayern,2020-03-04,48,0.0
Bayern,2020-03-05,70,0.0
Bayern,2020-03-06,117,0.0
Bayern,2020-03-07,134,0.0
Bayern,2020-03-08,172,0.0
Bayern,2020-03-09,256,0.0
Bayern,2020-03-10,314,0.0
Bayern,2020-03-11,366,0.0
Bayern,2020-03-12,500,1.0
Bayern,2020-03-13,558.0,1.0
Bayern,2020-03-14,681.0,1.0
Bayern,2020-03-15,886.0,4.0
Bayern,2020-03-16,886.0,5.0
Bayern,2020-03-17,1.067,5.0
Bayern,2020-03-18,12429999999999999,4.0
Berlin,2020-03-02,1,0.0
Berlin,2020-03-03,3,0.0
Berlin,2020-03-04,7,0.0
Berlin,2020-03-05,13,0.0
Berlin,2020-03-06,19,0.0
Berlin,2020-03-07,28,0.0
Berlin,2020-03-08,40,0.0
Berlin,2020-03-09,48,0.0
Berlin,2020-03-10,48,0.0
Berlin,2020-03-11,90,0.0
Berlin,2020-03-12,137,0.0
Berlin,2020-03-13,174.0,0.0
